,ObsID,DateTime,MMSI,VesselName,CallSign,Length,Width,Draft,ObservableProperty,Value,Timestamp
46,46,10/09/2021  00:00:00,368205880,NICHOLAS VETO,WDM4383,19,9,2.1,Course,144.3,1631228400
47,47,10/09/2021  00:00:00,368205880,NICHOLAS VETO,WDM4383,19,9,2.1,Bearing,511,1631228400
48,48,10/09/2021  00:00:00,367044560,PHINEAS BANNING,WCT8646,15,4,0,LatLong,"33.72159,-118.27133",1631228400
49,49,10/09/2021  00:00:00,367044560,PHINEAS BANNING,WCT8646,15,4,0,SpeedOverGround,0.1,1631228400
50,50,10/09/2021  00:00:00,367044560,PHINEAS BANNING,WCT8646,15,4,0,Course,175.1,1631228400
51,51,10/09/2021  00:00:00,367044560,PHINEAS BANNING,WCT8646,15,4,0,Bearing,511,1631228400
52,52,10/09/2021  00:00:00,636015897,OSAKA TOWER,D5DJ5,260,32,12.6,LatLong,"33.81588,-118.79465",1631228400
53,53,10/09/2021  00:00:00,636015897,OSAKA TOWER,D5DJ5,260,32,12.6,SpeedOverGround,11.7,1631228400
54,54,10/09/2021  00:00:00,636015897,OSAKA TOWER,D5DJ5,260,32,12.6,Course,120.3,1631228400
55,55,10/09/2021  00:00:00,636015897,OSAKA TOWER,D5DJ5,260,32,12.6,Bearing,117,1631228400
56,56,10/09/2021  00:00:00,367501870,MISS AUDREY,WDF9111,15,6,0,LatLong,"29.59772,-90.66566",1631228400
57,57,10/09/2021  00:00:00,367501870,MISS AUDREY,WDF9111,15,6,0,SpeedOverGround,0,1631228400
58,58,10/09/2021  00:00:00,367501870,MISS AUDREY,WDF9111,15,6,0,Course,341.8,1631228400
59,59,10/09/2021  00:00:00,367501870,MISS AUDREY,WDF9111,15,6,0,Bearing,511,1631228400
60,60,10/09/2021  00:00:00,366999621,CG YELLOWFIN,NRKG,26,5,0,LatLong,"32.77019,-79.91502",1631228400
61,61,10/09/2021  00:00:00,366999621,CG YELLOWFIN,NRKG,26,5,0,SpeedOverGround,0.6,1631228400
62,62,10/09/2021  00:00:00,366999621,CG YELLOWFIN,NRKG,26,5,0,Course,119,1631228400
63,63,10/09/2021  00:00:00,366999621,CG YELLOWFIN,NRKG,26,5,0,Bearing,240,1631228400
64,64,10/09/2021  00:00:00,367589210,GALE,WDG9578,19,7,0,LatLong,"38.36496,-76.98437",1631228400
65,65,10/09/2021  00:00:00,367589210,GALE,WDG9578,19,7,0,SpeedOverGround,0,1631228400
66,66,10/09/2021  00:00:00,367589210,GALE,WDG9578,19,7,0,Course,273.6,1631228400
67,67,10/09/2021  00:00:00,367589210,GALE,WDG9578,19,7,0,Bearing,511,1631228400
68,68,10/09/2021  00:00:00,367412630,M K MCNALLY,WDF6741,43,9,0,LatLong,"38.79685,-84.17113",1631228400
69,69,10/09/2021  00:00:00,367412630,M K MCNALLY,WDF6741,43,9,0,SpeedOverGround,0,1631228400
70,70,10/09/2021  00:00:00,367412630,M K MCNALLY,WDF6741,43,9,0,Course,273.3,1631228400
71,71,10/09/2021  00:00:00,367412630,M K MCNALLY,WDF6741,43,9,0,Bearing,289,1631228400
72,72,10/09/2021  00:00:00,367046940,GLADIATOR,WCZ9000,33,9,0,LatLong,"47.65469,-122.36683",1631228400
